rpe = 0.103481413507
stamp_est0        stamp_est1        stamp_gt0         stamp_gt1         trans_error  rot_error
1305031127.145500 1305031114.895700 1305031127.279465 1305031114.979280 0.140472 0.021026
1305031115.395700 1305031128.465500 1305031114.979280 1305031128.179350 0.080793 0.113185
1305031122.505600 1305031124.105500 1305031121.982926 1305031124.147446 0.013822 0.103597
1305031115.655600 1305031109.585800 1305031116.143441 1305031109.311329 0.136654 0.171050
1305031127.245500 1305031115.605700 1305031127.279465 1305031116.143441 0.157432 0.275785
1305031111.105700 1305031117.185700 1305031110.979345 1305031116.912044 0.056590 0.244485
1305031112.205800 1305031121.085600 1305031112.611261 1305031121.683200 0.094937 0.113111
1305031112.245700 1305031114.025700 1305031112.611261 1305031114.711306 0.141953 0.206758
1305031122.965600 1305031119.905600 1305031123.382255 1305031120.379437 0.143088 0.074872
1305031126.465900 1305031126.595500 1305031126.411465 1305031126.779379 0.017533 0.051241
1305031121.965600 1305031117.055700 1305031121.982926 1305031116.912044 0.128572 0.134353
1305031121.635600 1305031110.355700 1305031121.683200 1305031110.979345 0.114366 0.145624
1305031122.025500 1305031117.525600 1305031121.982926 1305031116.912044 0.160209 0.217290
1305031110.435700 1305031125.165600 1305031110.979345 1305031125.711443 0.035514 0.156067
1305031120.075600 1305031108.505800 1305031120.379437 1305031108.475471 0.160517 0.025598
1305031115.735700 1305031109.185700 1305031116.143441 1305031109.111282 0.203079 0.188178
1305031124.115500 1305031127.115500 1305031124.147446 1305031127.279465 0.032810 0.015145
1305031108.105700 1305031125.915500 1305031108.111378 1305031126.079356 0.112701 0.028831
1305031128.285500 1305031121.705600 1305031128.179350 1305031121.683200 0.119312 0.014803
1305031116.625700 1305031110.885700 1305031116.679281 1305031110.979345 0.218695 0.022017
1305031115.405700 1305031121.085600 1305031114.979280 1305031121.683200 0.130034 0.110594
1305031109.105700 1305031116.335600 1305031109.111282 1305031116.411333 0.051450 0.017681
1305031126.825500 1305031128.715500 1305031126.779379 1305031128.179350 0.028195 0.031514
1305031115.435700 1305031115.065600 1305031114.979280 1305031114.979280 0.173074 0.096402
1305031123.375600 1305031109.065800 1305031123.382255 1305031109.111282 0.158728 0.025158
1305031111.595700 1305031109.325700 1305031110.979345 1305031109.311329 0.031189 0.163438
1305031112.305700 1305031123.765500 1305031112.611261 1305031123.711323 0.097301 0.113619
1305031114.135700 1305031128.375500 1305031114.711306 1305031128.179350 0.081400 0.133538
1305031107.995700 1305031110.445700 1305031108.043418 1305031110.979345 0.029434 0.117510
1305031120.105600 1305031109.495700 1305031120.379437 1305031109.311329 0.115627 0.082534
1305031125.815500 1305031121.455600 1305031125.711443 1305031121.683200 0.027506 0.024704
1305031122.875600 1305031111.125700 1305031123.382255 1305031110.979345 0.115276 0.129115
1305031122.485600 1305031124.515500 1305031121.982926 1305031124.147446 0.111362 0.152921
1305031108.665700 1305031127.415400 1305031108.475471 1305031127.279465 0.161151 0.081607
1305031126.035800 1305031117.525600 1305031126.079356 1305031116.912044 0.129040 0.218731
1305031125.125500 1305031117.505700 1305031125.711443 1305031116.912044 0.126863 0.184469
1305031127.125800 1305031113.245700 1305031127.279465 1305031112.611261 0.071038 0.089454
1305031125.115500 1305031112.645800 1305031125.711443 1305031112.611261 0.134050 0.091338
1305031110.455700 1305031122.805600 1305031110.979345 1305031123.382255 0.097915 0.190727
1305031123.485600 1305031114.065700 1305031123.382255 1305031114.711306 0.124467 0.140183
1305031127.745500 1305031111.706000 1305031127.647358 1305031110.979345 0.176614 0.192081
1305031116.205600 1305031123.825500 1305031116.143441 1305031123.711323 0.137586 0.035908
1305031128.695500 1305031125.315500 1305031128.179350 1305031125.711443 0.051402 0.058701
1305031117.105700 1305031112.995800 1305031116.912044 1305031112.611261 0.151359 0.188114
1305031108.305800 1305031122.705700 1305031108.143334 1305031123.382255 0.174487 0.166703
1305031111.395700 1305031124.866100 1305031110.979345 1305031124.147446 0.156653 0.214539
1305031110.555700 1305031126.495500 1305031110.979345 1305031126.411465 0.066815 0.069930
1305031120.155600 1305031116.885700 1305031120.379437 1305031116.912044 0.136381 0.021624
1305031111.095700 1305031116.465700 1305031110.979345 1305031116.411333 0.178304 0.015827
1305031109.127400 1305031117.615700 1305031109.111282 1305031116.912044 0.213865 0.226012
1305031116.275700 1305031107.545700 1305031116.143441 1305031108.043418 0.165672 0.103387
1305031111.675700 1305031110.715700 1305031110.979345 1305031110.979345 0.247106 0.155359
1305031115.105700 1305031115.375700 1305031114.979280 1305031114.979280 0.127077 0.081685
1305031123.325500 1305031109.465800 1305031123.382255 1305031109.311329 0.073962 0.063625
1305031125.215500 1305031120.835600 1305031125.711443 1305031120.379437 0.093441 0.108588
1305031120.255700 1305031108.715800 1305031120.379437 1305031108.876515 0.146446 0.043993
1305031124.395500 1305031111.025700 1305031124.147446 1305031110.979345 0.087851 0.080238
1305031124.655600 1305031125.735500 1305031124.147446 1305031125.711443 0.036423 0.132121
1305031126.125500 1305031128.295500 1305031126.079356 1305031128.179350 0.052446 0.026369
1305031121.075600 1305031107.815800 1305031121.683200 1305031108.043418 0.121597 0.017075
