rpe = 0.118329433997
stamp_est0 	  stamp_est1 	    stamp_gt0 	      stamp_gt1 	trans_error rot_error
1305031117.715600 1305031114.245600 1305031118.179323 1305031114.343331 0.163398 0.065442
1305031116.185700 1305031113.465700 1305031116.080030 1305031113.443266 0.024374 0.093956
1305031119.885600 1305031105.125800 1305031119.879214 1305031104.775327 0.037565 0.029590
1305031118.395600 1305031102.875800 1305031118.511255 1305031103.143318 0.085386 0.034453
1305031122.365600 1305031119.175700 1305031122.314289 1305031118.879208 0.102834 0.023619
1305031108.945800 1305031101.735900 1305031108.711411 1305031102.175304 0.140609 0.074225
1305031108.345800 1305031112.435700 1305031108.443610 1305031112.411442 0.048135 0.049857
1305031104.945800 1305031114.495700 1305031104.775327 1305031114.644136 0.033513 0.046347
1305031104.295900 1305031104.705800 1305031104.611336 1305031104.775327 0.077779 0.009043
1305031118.945600 1305031120.825600 1305031118.879208 1305031120.415445 0.133821 0.117234
1305031108.025700 1305031124.555500 1305031108.011320 1305031124.211396 0.116138 0.096984
1305031106.295800 1305031109.075700 1305031106.143355 1305031109.275308 0.104887 0.085019
1305031112.586000 1305031120.495600 1305031112.743245 1305031120.415445 0.035168 0.065752
1305031101.625800 1305031121.725600 1305031102.175304 1305031121.583204 0.147038 0.068522
1305031111.565700 1305031121.405600 1305031111.179326 1305031121.583204 0.168666 0.097055
1305031104.075900 1305031113.465700 1305031104.611336 1305031113.443266 0.183585 0.098243
1305031102.505800 1305031124.895600 1305031102.175304 1305031124.211396 0.260038 0.217041
1305031111.805700 1305031115.475600 1305031112.411442 1305031115.111230 0.419438 0.232724
1305031107.225800 1305031114.995700 1305031107.575454 1305031115.111230 0.092165 0.115888
1305031104.695800 1305031107.555800 1305031104.775327 1305031107.575454 0.026512 0.054530
1305031112.015700 1305031116.905700 1305031112.411442 1305031116.779298 0.112799 0.112719
1305031114.845700 1305031106.485800 1305031114.644136 1305031106.511129 0.016993 0.034036
1305031105.615800 1305031102.225800 1305031106.143355 1305031102.175304 0.233727 0.091133
